RecipeName,Cuisine,Course,Diet
cake,['Continental'],['Dessert'],['Vegetarian']
Jelaebi,['Indian'],['Lunch'],['Vegetarian']
idli,['South Indian Recipes'],['South Indian Breakfast'],['Vegetarian']
rasam,['South Indian Recipes'],['Lunch'],['Vegetarian']
idli,['South Indian Recipes'],['South Indian Breakfast'],['Vegetarian']
gulab jamun,['Indian'],['Dessert'],['Vegetarian']
burger,['Continental'],['Dinner'],['Vegetarian']
chicken burger,['Continental'],['Appetizer'],['Non Vegeterian']
tikka paneer,['North Indian Recipes'],['Lunch'],['High Protein Vegetarian']
jhol,['Indian'],['Lunch'],['Vegetarian']
Thalipeeth,['Indian'],['Lunch'],['Vegetarian']
Sundakai and methi leaves sambhar,['Indian'],['Lunch'],['Vegetarian']
Nuggets,['Indian'],['Lunch'],['Vegetarian']
egg burji,['Indian'],['Lunch'],['Eggetarian']
bread omlette,['Continental'],['Lunch'],['Vegetarian']
egg rice,['Indian'],['Lunch'],['Eggetarian']
omelette,['Indian'],['World Breakfast'],['Eggetarian']
paneer butter masala,['Indian'],['Lunch'],['High Protein Vegetarian']
Kadai Paneer,['North Indian Recipes'],['Lunch'],['Vegetarian']
chilli chicken,['Indian'],['Appetizer'],['Non Vegeterian']
raitha,['Indian'],['Lunch'],['Vegetarian']
vadai,['Indian'],['Lunch'],['Vegetarian']
Vienna Bread,['Continental'],['Lunch'],['Vegetarian']
Mushrooms Stuffed With Carrots And Mint Mayo,['Continental'],['Appetizer'],['Vegetarian']
Gujarati Vagharela Mag,['Gujarati Recipes'],['Lunch'],['Vegetarian']
Sweet Lime Soda,['Indian'],['Dessert'],['Vegetarian']
Bhel poori,['Indian'],['Snack'],['Vegetarian']
Perum Payaru Theeyal,['Indian'],['Lunch'],['Vegetarian']
Triple Bean Cutlet,['Indian'],['Snack'],['Vegetarian']
Methi stuffed Paratha,['Indian'],['North Indian Breakfast'],['Vegetarian']
Doodh dudhi,['Indian'],['Lunch'],['Vegetarian']
Kollu Rasam,['South Indian Recipes'],['Lunch'],['Vegetarian']
